cif,cust_pin_code
180001267925,600015
180001261759,501505
180001194767,500072
180001266825,462003
180001264052,389140
180000366259,515661
180001285270,500064
180001290632,600117
180001266435,767016
180001277327,500035
180001134912,624003
180001282044,335804
180001289230,635303
180001135113,560026
180001282907,382715
180001264394,110089
180001282550,502107
180001143774,110053
180001263198,500079
180001276549,201009
180001282055,121003
180001274884,500085
180001273603,395004
180001281645,483334
180001247168,600026
180001347889,121004
180001282065,110094
180001134895,421302
180001285442,110018
180001266795,845434
180001264150,421301
180001268336,855101
180001266835,560079
180001347824,122508
180000745289,122002
180001126604,500068
180001143509,201009
180001142577,281401
180000746151,390020
180001278973,600042
180001099492,516360
180001266599,431602
180001194831,852214
180001279050,534239
180001141786,201206
180001135171,756126
180001264027,520001
180001085321,721440
180001264360,500081
180001134937,400022
180001276920,394180
180001290565,281001
180001290928,452016
180001221612,462030
180001264431,560100
180001282512,533003
180001273590,522501
180001279633,516269
180001143944,326001
180001130822,517325
180001276755,210502
180001194700,630001
180000734569,110062
180001268649,262122
180000340745,390007
180000703011,577203
180001275907,431113
180001247407,800013
180001264426,421302
180001283571,600040
180000907058,641009
180001290617,413708
180000717969,560067
180001271066,560037
180001269275,515411
180001333005,110043
180001285466,401305
180001272514,560057
180000451378,127021
180001278978,577401
180001268967,431501
180001276967,474011
180001169149,380001
180000452351,400063
180001264576,600037
180001194458,502281
180001099656,855101
180001261722,414505
180001271800,506002
180001195019,520013
180001169516,442202
180001273963,413725
180001123193,635120
180001278979,641025
180001143937,458441
180001301429,563101
180001290443,500014
180001264385,421002
180001269099,515865
180000696977,570009
180001264353,415539
180001095203,382405
180001129481,505187
180001271349,524126
180001285387,600045
180001281677,122002
180001272279,500074
180001333339,333030
180001290445,321303
180001263221,534245
180001287561,251327
180001088761,110074
180001278505,360004
180001125738,585327
180001276768,560087
180001277345,382007
180001290507,508246
180001124400,600096
180001282757,110040
180001276504,601301
180000729956,635305
180001273929,302015
180001134969,600053
180001268394,523228
180001135723,422012
180001285380,360004
180001195240,506003
180001261442,342306
180001135356,523273
180001289953,312205
180001143042,123302
180001090020,500060
180001290667,390001
180001090138,331403
180001266391,472118
180001276482,390021
180001266827,424101
180001272164,570019
180001276038,800008
180001261484,382440
180001143972,641606
180001285444,416615
180001290755,110045
180001290539,533101
180001294458,500055
180001271069,110062
180001277247,603103
180001135156,620009
180001169337,110046
180001299123,523111
180001276837,524002
180001143652,201301
180001290723,815316
180001247295,110068
180001266635,401602
180001194940,641604
180001286636,110059
180001297499,322234
180000594166,600004
180001277762,516390
180001279264,841226
180001285403,560037
180001285217,560034
180001137996,530027
180001289527,523001
180001272905,422006
180001290759,414001
180001299153,736135
180001266673,577002
180001082695,400053
180001273332,363642
180000914227,560092
180001143939,508248
180001297062,560092
180001290823,471001
180001275919,360005
180001264587,413517
180001279760,522101
180000451384,454001
180000597028,682028
180001291981,360004
180001294362,560091
180001282637,584111
180001268741,416310
180001290183,517501
180001195469,533101
180001143488,845304
180001194749,201301
180001297487,600062
180001278968,522626
180001273541,625001
180001067041,583132
180001266619,586204
180001272672,110033
180001264730,635710
180001133634,395009
180001277194,743273
180001299551,636810
180001295987,636352
180001119198,444501
180001282045,431127
180001130264,520010
180001268392,110012
180001264673,395006
180001294546,522626
180001286631,577006
180001277166,841241
180001279277,201301
180001221356,385555
180001266681,506002
180001277460,613006
180001268800,583135
180001274558,389350
180001294471,380051
180001275559,625018
180000445672,731216
180001273605,571403
180001290457,600074
180001194619,641606
180001285357,444706
180001276929,110044
180001268803,800008
180001290256,516433
180001275303,201003
180001275904,382428
180001278967,585201
180001289130,500059
180001264240,560087
180001194654,110053
180001294566,571437
180000465069,400033
180001194683,431203
180001261727,639110
180001135085,518155
180001290458,281306
180001266567,583237
180001277089,560100
180001266804,250004
180001281978,516433
180001195568,587313
180000884868,834008
180001281923,518001
180001109204,431001
180001282429,700106
180001271310,500040
180001264078,454446
180001271323,628008
180001294450,132039
180001275894,721423
180001279083,571403
180001297490,312614
180001268964,524005
180001271041,201309
180001279045,600061
180001122554,500072
180001194470,476001
180001283413,562123
180001264487,500076
180001135070,627953
180001194995,509001
180001290331,394107
180001272914,560060
180001290196,411027
180001135186,343049
180001169307,110025
180001089542,380051
180001264454,585310
180001143926,421201
180001333027,388410
180001195600,121009
180001341589,500008
180001135218,505301
180001263280,421308
180001276603,390019
180001262958,562114
180001143573,641021
180001195139,301024
180001266680,484334
180001278542,517569
180001119094,462024
180001099385,471111
180001276908,110071
180001278583,572121
180001277425,515425
180001273478,272130
180000447532,632406
180001264534,522316
180001143757,485774
180001351671,444505
180001283849,532221
180001221350,500081
180001266427,201306
180001276615,148108
180001088754,110009
180001281965,110084
180001276658,805110
180000717540,431005
180000179949,516267
180001143949,590008
180001264402,624003
180001262986,110092
180000931344,123401
180001134952,600094
180001273380,246722
180001277857,641020
180001103200,224153
180001276843,302023
180001290478,110045
180001279076,847223
180000931341,700136
180001294441,486661
180001264530,396191
180000910917,560068
180001195399,110025
180001221637,843331
180001278965,201005
180001281984,721422
180001263118,501508
180001291029,641671
180001266514,313903
180001194830,723151
180001264879,500072
180001142107,523316
180001290765,321205
180000346003,620006
